date,restaurant_id,weather,temperature,promotion_active,orders,delivery_orders,dine_in_orders,avg_order_value,revenue,staff_hours,labor_cost,productivity_per_hour,personnel_cost_ratio
2024-01-01,R0027,cloudy,-4.9,0,126,30,96,12.98,1635.28,15.61,236.51,104.74,0.1446
2024-01-01,R0002,sunny,4.0,0,152,44,108,12.94,1967.13,18.41,246.03,106.88,0.1251
2024-01-01,R0050,sunny,-0.0,0,163,47,116,14.8,2413.14,24.08,367.34,100.22,0.1522
2024-01-01,R0047,snowy,13.0,0,126,15,111,15.8,1990.98,24.41,404.87,81.57,0.2034
2024-01-01,R0045,rainy,4.2,0,57,20,37,20.33,1158.7,12.68,155.77,91.36,0.1344
2024-01-01,R0052,rainy,3.8,0,72,11,61,15.69,1130.03,14.65,243.79,77.11,0.2157
2024-01-01,R0046,sunny,-4.1,0,238,66,172,12.48,2969.59,38.86,566.61,76.41,0.1908
2024-01-01,R0051,sunny,-2.1,0,91,25,66,11.22,1020.82,13.27,245.13,76.95,0.2401
2024-01-01,R0048,snowy,1.2,1,83,19,64,12.61,1046.93,12.0,178.01,87.24,0.17
2024-01-01,R0044,sunny,1.3,0,122,50,72,10.94,1334.36,20.5,290.58,65.1,0.2178
2024-01-01,R0049,snowy,16.2,0,120,7,113,14.8,1776.27,21.23,347.79,83.66,0.1958
2024-01-02,R0024,cloudy,10.2,1,170,18,152,10.39,1767.09,34.58,502.34,51.1,0.2843
2024-01-02,R0035,sunny,1.8,0,119,25,94,17.88,2127.97,30.46,603.42,69.86,0.2836
2024-01-02,R0007,cloudy,1.8,0,221,36,185,12.03,2659.05,42.79,573.37,62.14,0.2156
2024-01-02,R0033,cloudy,8.2,0,158,51,107,12.31,1945.51,20.91,338.97,93.06,0.1742
2024-01-02,R0014,rainy,2.3,0,164,37,127,14.34,2352.05,31.38,540.61,74.95,0.2298
2024-01-02,R0034,rainy,3.3,0,162,43,119,13.0,2106.27,18.06,299.26,116.64,0.1421
2024-01-02,R0046,rainy,4.3,0,246,95,151,11.17,2746.88,33.49,488.31,82.01,0.1778
2024-01-02,R0008,cloudy,7.8,0,245,52,193,13.81,3383.36,33.68,466.0,100.46,0.1377
2024-01-02,R0036,sunny,5.6,1,392,99,293,11.21,4393.95,43.98,583.35,99.9,0.1328
2024-01-02,R0047,sunny,5.9,0,214,38,176,14.01,2998.35,44.35,735.66,67.6,0.2454
2024-01-02,R0052,rainy,5.6,0,87,20,67,14.92,1298.2,17.59,292.55,73.82,0.2254
2024-01-02,R0025,cloudy,5.3,0,116,22,94,10.69,1239.67,12.0,195.41,103.31,0.1576
2024-01-02,R0051,snowy,-2.8,0,96,16,80,9.97,957.33,12.0,221.73,79.78,0.2316
2024-01-02,R0009,cloudy,8.7,1,284,17,267,11.29,3206.69,37.43,643.66,85.68,0.2007
2024-01-02,R0032,rainy,2.1,0,188,32,156,12.16,2286.65,35.03,435.61,65.28,0.1905
2024-01-02,R0050,rainy,-1.3,0,186,48,138,11.78,2190.53,18.84,287.41,116.28,0.1312
2024-01-02,R0012,rainy,9.2,0,135,48,87,15.18,2049.75,22.46,388.02,91.27,0.1893
2024-01-02,R0029,snowy,2.0,0,197,39,158,13.27,2614.55,30.02,539.02,87.1,0.2062
2024-01-02,R0011,cloudy,-9.5,0,290,69,221,11.38,3299.63,53.45,957.84,61.73,0.2903
2024-01-02,R0027,cloudy,-0.6,0,214,31,183,11.69,2501.28,28.06,425.07,89.14,0.1699
2024-01-02,R0002,sunny,6.1,0,192,51,141,12.6,2418.41,22.01,294.24,109.87,0.1217
2024-01-02,R0030,sunny,-0.5,0,164,36,128,9.51,1559.26,22.77,474.09,68.48,0.304
2024-01-02,R0059,sunny,-0.1,0,259,54,205,13.37,3463.9,35.85,660.73,96.61,0.1907
2024-01-02,R0056,cloudy,-0.2,0,180,46,134,12.03,2166.29,30.24,389.08,71.64,0.1796
2024-01-02,R0031,cloudy,0.1,0,253,67,186,12.97,3280.84,45.48,687.19,72.13,0.2095
2024-01-02,R0018,cloudy,-1.7,0,131,26,105,10.77,1410.88,13.8,179.49,102.24,0.1272
2024-01-02,R0010,snowy,8.4,0,175,71,104,10.24,1792.4,23.3,342.47,76.94,0.1911
2024-01-02,R0026,cloudy,15.9,0,331,78,253,13.2,4370.39,83.22,1084.05,52.52,0.248
2024-01-02,R0055,cloudy,0.4,0,100,10,90,13.35,1335.33,19.83,393.08,67.32,0.2944
2024-01-02,R0015,cloudy,3.1,0,194,35,159,14.99,2908.69,30.98,428.9,93.89,0.1475
2024-01-02,R0013,sunny,5.3,0,260,20,240,14.32,3722.49,51.96,639.64,71.64,0.1718
2024-01-02,R0006,rainy,2.5,0,272,65,207,18.5,5033.15,80.08,1159.83,62.85,0.2304
2024-01-02,R0023,cloudy,3.6,0,216,46,170,13.52,2919.94,26.29,430.94,111.07,0.1476
2024-01-02,R0016,sunny,3.2,0,128,9,119,14.76,1889.84,24.0,343.87,78.74,0.182
2024-01-02,R0043,cloudy,4.5,0,201,73,128,16.29,3274.25,51.17,699.81,63.99,0.2137
2024-01-02,R0017,cloudy,-0.7,0,215,39,176,11.91,2559.76,30.26,437.03,84.59,0.1707
2024-01-02,R0042,cloudy,10.4,0,391,72,319,19.1,7468.51,97.11,1298.09,76.91,0.1738
2024-01-02,R0044,rainy,5.4,0,162,41,121,9.76,1580.64,19.8,280.71,79.82,0.1776
2024-01-02,R0019,cloudy,2.0,0,205,35,170,11.93,2446.62,37.78,655.33,64.75,0.2679
2024-01-02,R0053,cloudy,5.6,0,173,39,134,12.39,2142.76,28.09,428.18,76.27,0.1998
2024-01-02,R0001,cloudy,9.8,0,269,68,201,15.95,4289.22,78.13,937.59,54.9,0.2186
2024-01-02,R0003,rainy,1.1,0,268,30,238,14.66,3929.22,48.36,645.69,81.25,0.1643
2024-01-02,R0049,rainy,4.7,0,172,45,127,13.75,2364.74,28.75,470.97,82.24,0.1992
2024-01-02,R0020,cloudy,2.1,0,147,29,118,13.77,2023.62,33.53,590.23,60.35,0.2917
2024-01-02,R0041,rainy,-0.7,0,183,19,164,13.55,2479.5,28.35,362.58,87.46,0.1462
2024-01-02,R0004,cloudy,7.8,1,283,42,241,13.38,3787.89,54.14,814.18,69.96,0.2149
2024-01-02,R0040,rainy,-0.1,0,282,47,235,15.84,4466.62,55.3,1042.07,80.77,0.2333
2024-01-02,R0058,sunny,13.7,0,344,21,323,10.64,3661.64,46.93,735.26,78.02,0.2008
2024-01-02,R0005,cloudy,9.6,0,133,44,89,12.79,1701.72,16.86,283.82,100.91,0.1668
2024-01-02,R0028,rainy,-2.5,0,228,49,179,11.33,2582.69,31.94,383.28,80.86,0.1484
2024-01-02,R0057,cloudy,8.2,1,258,62,196,17.36,4479.96,39.28,652.02,114.04,0.1455
2024-01-02,R0048,sunny,9.2,0,104,11,93,11.4,1186.07,17.6,261.05,67.4,0.2201
2024-01-02,R0021,snowy,10.9,0,146,14,132,10.17,1484.29,21.6,338.63,68.73,0.2281
2024-01-02,R0039,cloudy,6.6,0,290,109,181,8.95,2594.5,33.11,515.67,78.37,0.1988
2024-01-02,R0054,cloudy,3.1,0,282,55,227,7.21,2032.08,20.94,312.24,97.02,0.1537
2024-01-02,R0037,sunny,-3.4,1,289,41,248,14.04,4056.66,48.34,919.36,83.92,0.2266
2024-01-02,R0060,cloudy,-1.4,0,242,54,188,9.17,2218.97,37.16,569.75,59.72,0.2568
2024-01-02,R0045,rainy,8.6,0,90,30,60,19.59,1763.02,23.45,288.04,75.17,0.1634
2024-01-02,R0038,cloudy,8.4,0,71,17,54,13.23,939.44,13.11,175.59,71.65,0.1869
2024-01-02,R0022,cloudy,7.5,0,212,43,169,16.39,3474.82,48.63,724.71,71.45,0.2086
2024-01-03,R0019,snowy,-0.1,0,179,38,141,13.89,2486.94,33.6,582.74,74.02,0.2343
2024-01-03,R0057,cloudy,11.2,0,331,83,248,16.03,5305.08,59.51,987.65,89.15,0.1862
2024-01-03,R0047,cloudy,1.5,0,223,24,199,14.77,3294.47,41.41,686.85,79.56,0.2085
2024-01-03,R0027,rainy,0.1,0,201,35,166,12.21,2453.78,26.02,394.11,94.31,0.1606
2024-01-03,R0017,cloudy,11.0,0,196,49,147,13.09,2566.31,32.77,473.22,78.32,0.1844
2024-01-03,R0018,rainy,6.1,0,116,23,93,9.61,1115.12,16.17,210.26,68.98,0.1886
2024-01-03,R0014,cloudy,9.1,0,242,62,180,14.2,3437.07,38.8,668.44,88.58,0.1945
2024-01-03,R0023,rainy,4.1,0,278,75,203,13.67,3800.95,38.54,631.81,98.62,0.1662
2024-01-03,R0012,snowy,3.7,0,155,25,130,14.25,2209.19,25.48,440.27,86.7,0.1993
2024-01-03,R0058,rainy,-0.8,0,305,31,274,10.42,3176.66,43.25,677.59,73.45,0.2133
2024-01-03,R0026,sunny,1.4,0,352,63,289,14.34,5046.78,112.53,1465.83,44.85,0.2904
2024-01-03,R0048,cloudy,-3.0,0,117,30,87,13.19,1543.61,17.81,264.25,86.65,0.1712
2024-01-03,R0024,cloudy,8.4,0,162,25,137,11.39,1844.62,24.84,360.79,74.27,0.1956
2024-01-03,R0020,rainy,0.8,0,121,33,88,11.24,1360.02,24.03,422.97,56.59,0.311
2024-01-03,R0016,rainy,-0.5,1,159,45,114,12.83,2039.58,24.7,353.91,82.56,0.1735
2024-01-03,R0015,cloudy,3.0,0,195,16,179,14.75,2875.39,39.7,549.6,72.43,0.1911
2024-01-03,R0021,cloudy,6.2,0,216,76,140,9.27,2001.92,31.19,489.05,64.19,0.2443
2024-01-03,R0049,snowy,3.6,0,158,30,128,13.03,2058.2,26.08,427.12,78.93,0.2075
2024-01-03,R0013,cloudy,9.5,0,277,82,195,13.61,3770.97,57.85,712.15,65.19,0.1889
2024-01-03,R0025,rainy,9.4,1,138,24,114,10.66,1470.65,15.62,254.38,94.14,0.173
2024-01-03,R0056,snowy,-2.1,0,170,33,137,12.17,2068.13,21.94,282.29,94.27,0.1365
2024-01-03,R0022,cloudy,11.5,0,143,29,114,18.56,2654.43,37.76,562.63,70.3,0.212
2024-01-03,R0031,rainy,0.8,0,228,52,176,16.24,3702.12,41.25,623.28,89.74,0.1684
2024-01-03,R0034,cloudy,2.4,0,192,62,130,15.24,2925.46,30.26,501.44,96.68,0.1714
2024-01-03,R0005,sunny,3.2,0,204,43,161,10.94,2230.87,27.16,457.06,82.15,0.2049
2024-01-03,R0035,sunny,0.8,0,120,40,80,15.59,1870.2,21.18,419.47,88.32,0.2243
2024-01-03,R0007,rainy,6.4,0,243,27,216,11.95,2904.4,42.21,565.55,68.81,0.1947
2024-01-03,R0051,cloudy,11.3,0,174,67,107,11.35,1975.55,23.39,432.13,84.47,0.2187
2024-01-03,R0036,cloudy,5.7,0,333,66,267,10.04,3344.17,40.26,533.96,83.07,0.1597
2024-01-03,R0041,cloudy,1.3,0,260,73,187,13.47,3502.93,45.57,582.84,76.86,0.1664
2024-01-03,R0028,cloudy,0.1,1,221,32,189,13.72,3031.96,39.76,477.06,76.27,0.1573
2024-01-03,R0003,snowy,3.7,0,197,63,134,14.62,2881.03,33.59,448.43,85.78,0.1556
2024-01-03,R0006,cloudy,-3.6,0,200,57,143,17.82,3563.99,39.96,578.8,89.19,0.1624
2024-01-03,R0054,cloudy,1.1,0,281,83,198,8.14,2286.3,28.45,424.07,80.37,0.1855
2024-01-03,R0045,rainy,4.3,0,109,21,88,20.16,2197.65,37.4,459.28,58.77,0.209
2024-01-03,R0004,cloudy,4.7,0,247,57,190,12.9,3185.6,41.13,618.49,77.45,0.1942
2024-01-03,R0037,cloudy,7.1,0,167,42,125,13.53,2259.53,22.5,427.97,100.41,0.1894
2024-01-03,R0060,cloudy,4.2,0,268,40,228,8.58,2300.75,34.53,529.38,66.64,0.2301
2024-01-03,R0040,cloudy,-7.2,0,284,86,198,13.6,3862.07,42.52,801.23,90.83,0.2075
2024-01-03,R0038,cloudy,5.8,1,109,11,98,13.13,1430.74,25.3,338.85,56.55,0.2368
2024-01-03,R0001,snowy,-6.3,0,191,47,144,17.77,3394.1,57.73,692.77,58.79,0.2041
2024-01-03,R0008,rainy,5.6,0,197,23,174,14.61,2877.86,32.93,455.59,87.4,0.1583
2024-01-03,R0039,cloudy,-0.8,0,280,62,218,7.54,2111.61,31.39,488.92,67.27,0.2315
2024-01-03,R0046,sunny,0.3,0,422,113,309,11.36,4793.39,50.99,743.46,94.0,0.1551
2024-01-03,R0011,rainy,4.0,0,362,18,344,10.72,3879.2,78.22,1401.7,49.6,0.3613
2024-01-03,R0052,rainy,5.7,0,79,23,56,15.77,1246.03,19.99,332.58,62.33,0.2669
2024-01-03,R0029,cloudy,3.7,0,328,73,255,15.23,4996.75,68.27,1225.89,73.19,0.2453
2024-01-03,R0050,cloudy,-3.8,0,190,60,130,16.08,3054.47,31.0,472.89,98.55,0.1548
2024-01-03,R0043,rainy,7.2,0,201,62,139,16.78,3373.68,46.36,634.13,72.77,0.188
2024-01-03,R0030,cloudy,12.5,0,191,42,149,12.54,2394.39,32.93,685.63,72.71,0.2863
2024-01-03,R0059,cloudy,0.6,0,307,15,292,14.5,4450.98,55.46,1021.98,80.26,0.2296
2024-01-03,R0033,sunny,4.4,0,235,78,157,16.05,3770.59,37.2,603.26,101.35,0.16
2024-01-03,R0002,cloudy,8.9,0,224,46,178,12.73,2851.39,33.32,445.42,85.57,0.1562
2024-01-03,R0042,rainy,14.4,0,340,85,255,19.36,6582.31,93.38,1248.23,70.49,0.1896
2024-01-03,R0055,snowy,5.3,1,95,38,57,17.58,1670.25,23.59,467.45,70.81,0.2799
2024-01-03,R0044,cloudy,2.2,0,214,27,187,12.12,2593.73,33.68,477.41,77.02,0.1841
2024-01-03,R0009,cloudy,5.4,1,295,83,212,13.63,4021.96,51.99,894.17,77.35,0.2223
2024-01-03,R0032,rainy,3.2,0,264,69,195,13.98,3691.13,61.81,768.72,59.71,0.2083
2024-01-03,R0053,cloudy,-6.0,0,237,94,143,12.65,2998.56,37.82,576.48,79.28,0.1923
2024-01-03,R0010,rainy,1.3,0,207,43,164,10.85,2245.21,33.3,489.5,67.43,0.218
2024-01-04,R0002,rainy,1.3,0,231,51,180,13.48,3114.81,34.82,465.49,89.45,0.1494
2024-01-04,R0003,rainy,3.0,0,253,67,186,13.73,3472.62,32.45,433.21,107.03,0.1248
2024-01-04,R0016,cloudy,10.3,0,119,11,108,15.24,1813.61,25.97,372.12,69.82,0.2052
2024-01-04,R0004,rainy,17.3,0,235,26,209,16.03,3766.54,54.19,814.9,69.51,0.2164
2024-01-04,R0001,rainy,1.1,0,284,68,216,16.16,4588.34,65.74,788.88,69.8,0.1719
2024-01-04,R0011,rainy,-0.2,0,336,100,236,11.27,3787.67,63.43,1136.68,59.72,0.3001
2024-01-04,R0049,cloudy,-1.5,0,203,58,145,14.97,3038.73,29.26,479.28,103.85,0.1577
2024-01-04,R0060,cloudy,0.2,0,320,67,253,11.89,3804.18,60.46,927.03,62.92,0.2437
2024-01-04,R0058,cloudy,3.8,0,339,16,323,11.54,3912.72,47.46,743.52,82.44,0.19
2024-01-04,R0015,cloudy,-3.9,0,187,38,149,14.61,2731.99,36.26,502.06,75.34,0.1838
2024-01-04,R0051,sunny,12.1,0,164,41,123,11.08,1817.89,23.21,428.82,78.33,0.2359
2024-01-04,R0006,cloudy,7.0,0,286,94,192,19.33,5527.63,77.85,1127.6,71.0,0.204
2024-01-04,R0014,cloudy,22.6,0,207,35,172,16.6,3435.47,47.19,812.9,72.8,0.2366
2024-01-04,R0007,sunny,5.1,0,296,36,260,15.13,4477.23,73.09,979.38,61.26,0.2187
2024-01-04,R0013,cloudy,6.4,1,263,48,215,13.96,3671.23,57.57,708.68,63.77,0.193
2024-01-04,R0008,cloudy,11.4,0,231,26,205,12.76,2948.4,36.91,510.64,79.89,0.1732
2024-01-04,R0012,cloudy,8.3,0,189,67,122,14.33,2708.79,30.65,529.49,88.39,0.1955
2024-01-04,R0009,cloudy,1.2,0,283,61,222,16.21,4586.68,61.76,1062.1,74.27,0.2316
2024-01-04,R0010,sunny,-0.9,0,243,90,153,9.98,2425.0,38.08,559.87,63.67,0.2309
2024-01-04,R0059,rainy,5.6,0,274,43,231,12.45,3410.53,35.19,648.57,96.9,0.1902
2024-01-04,R0050,rainy,-1.6,0,202,59,143,17.24,3483.4,32.29,492.69,107.87,0.1414
2024-01-04,R0005,cloudy,2.9,0,211,24,187,11.27,2377.15,24.43,411.2,97.3,0.173
2024-01-04,R0017,sunny,8.2,0,262,46,216,13.1,3432.52,39.98,577.4,85.85,0.1682
2024-01-04,R0043,cloudy,2.2,1,251,81,170,13.32,3343.4,53.04,725.45,63.03,0.217
2024-01-04,R0038,snowy,0.4,0,82,18,64,14.42,1182.66,18.01,241.15,65.68,0.2039
2024-01-04,R0025,rainy,2.4,0,131,29,102,13.47,1764.86,17.61,286.82,100.2,0.1625
2024-01-04,R0033,cloudy,4.1,0,235,109,126,14.43,3390.39,35.45,574.78,95.64,0.1695
2024-01-04,R0056,sunny,-3.0,0,213,36,177,14.09,3001.46,38.45,494.82,78.05,0.1649
2024-01-04,R0026,rainy,10.5,0,311,15,296,12.92,4017.25,74.52,970.76,53.91,0.2416
2024-01-04,R0027,sunny,6.9,0,197,52,145,11.63,2291.94,21.93,332.18,104.52,0.1449
2024-01-04,R0028,sunny,-2.3,0,220,58,162,10.51,2311.77,32.81,393.68,70.47,0.1703
2024-01-04,R0037,rainy,1.8,0,177,45,132,16.99,3007.94,31.91,606.8,94.28,0.2017
2024-01-04,R0029,sunny,2.7,0,287,21,266,14.28,4098.81,51.9,931.96,78.98,0.2274
2024-01-04,R0039,cloudy,4.7,0,304,106,198,12.28,3734.4,57.58,896.9,64.86,0.2402
2024-01-04,R0045,cloudy,9.1,0,118,41,77,20.35,2401.82,36.13,443.68,66.48,0.1847
2024-01-04,R0030,cloudy,12.5,0,172,54,118,11.28,1939.43,27.98,582.5,69.32,0.3003
2024-01-04,R0054,sunny,6.2,1,494,88,406,8.37,4135.63,46.46,692.55,89.02,0.1675
2024-01-04,R0031,cloudy,0.1,0,231,43,188,12.94,2990.11,32.89,496.98,90.9,0.1662
2024-01-04,R0036,sunny,-0.1,0,344,17,327,10.42,3583.36,35.24,467.37,101.69,0.1304
2024-01-04,R0055,sunny,-1.6,0,139,38,101,14.89,2070.33,34.59,685.6,59.85,0.3312
2024-01-04,R0035,cloudy,0.2,0,125,23,102,19.26,2407.22,31.05,615.13,77.52,0.2555
2024-01-04,R0046,sunny,-1.1,0,475,97,378,10.36,4920.13,52.71,768.51,93.34,0.1562
2024-01-04,R0032,rainy,-1.7,1,233,93,140,11.87,2765.97,43.61,542.28,63.43,0.1961
2024-01-04,R0052,rainy,11.8,0,103,19,84,15.47,1593.82,24.59,409.1,64.81,0.2567
2024-01-04,R0024,snowy,1.1,0,168,31,137,11.91,2001.13,34.3,498.16,58.35,0.2489
2024-01-04,R0034,cloudy,2.2,0,212,51,161,17.99,3813.07,37.93,628.57,100.53,0.1648
2024-01-04,R0023,cloudy,3.0,0,301,80,221,13.77,4144.07,47.47,778.08,87.31,0.1878
2024-01-04,R0053,cloudy,4.1,0,251,115,136,13.62,3418.4,47.34,721.55,72.21,0.2111
2024-01-04,R0042,cloudy,-0.2,1,386,62,324,16.7,6446.24,75.09,1003.77,85.84,0.1557
2024-01-04,R0057,rainy,3.9,0,274,34,240,16.57,4539.01,41.45,688.05,109.49,0.1516
2024-01-04,R0021,rainy,9.7,0,183,47,136,8.62,1577.52,20.4,319.96,77.31,0.2028
2024-01-04,R0041,sunny,7.1,0,211,58,153,14.57,3074.74,30.86,394.61,99.65,0.1283
2024-01-04,R0020,rainy,1.7,0,134,39,95,11.02,1476.79,26.06,458.71,56.66,0.3106
2024-01-04,R0044,snowy,5.2,0,136,26,110,11.16,1518.18,27.84,394.68,54.53,0.26
2024-01-04,R0019,cloudy,-4.3,1,298,114,184,13.76,4100.42,56.03,971.79,73.18,0.237
2024-01-04,R0048,snowy,-1.7,0,103,25,78,11.76,1211.23,16.7,247.79,72.51,0.2046
2024-01-04,R0018,rainy,7.5,0,137,43,94,12.03,1648.27,22.27,289.64,74.02,0.1757
2024-01-04,R0047,cloudy,6.8,0,224,33,191,15.7,3515.69,40.51,671.88,86.79,0.1911
2024-01-04,R0040,cloudy,11.5,0,229,54,175,13.86,3174.32,41.01,772.77,77.4,0.2434
2024-01-04,R0022,rainy,0.5,0,158,44,114,16.48,2604.49,36.94,550.43,70.51,0.2113
2024-01-05,R0042,rainy,0.8,0,338,96,242,21.16,7152.26,116.91,1562.72,61.18,0.2185
2024-01-05,R0035,rainy,9.0,1,152,48,104,19.19,2917.21,30.34,601.07,96.14,0.206
2024-01-05,R0045,sunny,8.1,0,171,54,117,19.46,3327.03,42.8,525.69,77.73,0.158
2024-01-05,R0006,cloudy,1.7,0,293,14,279,19.08,5590.92,73.08,1058.43,76.51,0.1893
2024-01-05,R0034,cloudy,14.2,0,239,52,187,16.05,3835.31,36.43,603.67,105.29,0.1574
2024-01-05,R0007,rainy,13.4,0,232,88,144,12.61,2926.62,41.61,557.54,70.34,0.1905
2024-01-05,R0002,rainy,1.6,0,177,84,93,13.92,2464.3,30.86,412.48,79.86,0.1674
2024-01-05,R0036,cloudy,3.5,0,319,15,304,11.14,3552.67,44.01,583.77,80.72,0.1643
2024-01-05,R0053,rainy,-1.0,0,262,117,145,12.81,3356.58,43.68,665.77,76.84,0.1983
2024-01-05,R0051,rainy,12.2,0,179,66,113,9.57,1712.76,18.05,333.6,94.87,0.1948
2024-01-05,R0044,snowy,-0.1,0,163,32,131,11.32,1845.78,29.49,418.1,62.58,0.2265
2024-01-05,R0041,sunny,-3.1,1,275,56,219,15.52,4268.38,56.09,717.35,76.1,0.1681
2024-01-05,R0037,cloudy,4.7,0,239,57,182,14.17,3386.53,36.81,700.11,92.0,0.2067
2024-01-05,R0060,sunny,1.0,0,376,110,266,9.26,3483.05,57.37,879.7,60.71,0.2526
2024-01-05,R0003,cloudy,10.4,0,367,49,318,14.46,5306.57,60.03,801.49,88.4,0.151
2024-01-05,R0005,cloudy,6.7,0,215,63,152,11.42,2454.76,26.52,446.31,92.57,0.1818
2024-01-05,R0040,snowy,2.8,0,291,99,192,18.53,5392.17,63.02,1187.51,85.56,0.2202
2024-01-05,R0038,cloudy,4.0,0,119,26,93,12.53,1490.93,21.25,284.59,70.16,0.1909
