date,weekday,weekday_name,month,week_of_year,quarter,is_weekend,is_holiday,year
2024-02-18,6,Sunday,2,7,1,1,0,2024
2024-02-19,0,Monday,2,8,1,0,0,2024
2024-02-20,1,Tuesday,2,8,1,0,0,2024
2024-02-21,2,Wednesday,2,8,1,0,0,2024
2024-02-22,3,Thursday,2,8,1,0,0,2024
2024-02-23,4,Friday,2,8,1,0,0,2024
2024-02-24,5,Saturday,2,8,1,1,0,2024
2024-02-25,6,Sunday,2,8,1,1,0,2024
2024-02-26,0,Monday,2,9,1,0,0,2024
2024-02-27,1,Tuesday,2,9,1,0,0,2024
2024-02-28,2,Wednesday,2,9,1,0,0,2024
2024-02-29,3,Thursday,2,9,1,0,0,2024
2024-03-01,4,Friday,3,9,1,0,0,2024
2024-03-02,5,Saturday,3,9,1,1,0,2024
2024-03-03,6,Sunday,3,9,1,1,0,2024
2024-03-04,0,Monday,3,10,1,0,0,2024
2024-03-05,1,Tuesday,3,10,1,0,0,2024
2024-03-06,2,Wednesday,3,10,1,0,0,2024
2024-03-07,3,Thursday,3,10,1,0,0,2024
2024-03-08,4,Friday,3,10,1,0,0,2024
2024-03-09,5,Saturday,3,10,1,1,0,2024
2024-03-10,6,Sunday,3,10,1,1,0,2024
2024-03-11,0,Monday,3,11,1,0,0,2024
2024-03-12,1,Tuesday,3,11,1,0,0,2024
2024-03-13,2,Wednesday,3,11,1,0,0,2024
2024-03-14,3,Thursday,3,11,1,0,0,2024
2024-03-15,4,Friday,3,11,1,0,0,2024
2024-03-16,5,Saturday,3,11,1,1,0,2024
2024-03-17,6,Sunday,3,11,1,1,0,2024
2024-03-18,0,Monday,3,12,1,0,0,2024
2024-03-19,1,Tuesday,3,12,1,0,0,2024
2024-03-20,2,Wednesday,3,12,1,0,0,2024
2024-03-21,3,Thursday,3,12,1,0,0,2024
2024-03-22,4,Friday,3,12,1,0,0,2024
2024-03-23,5,Saturday,3,12,1,1,0,2024
2024-03-24,6,Sunday,3,12,1,1,0,2024
2024-03-25,0,Monday,3,13,1,0,0,2024
2024-03-26,1,Tuesday,3,13,1,0,0,2024
2024-03-27,2,Wednesday,3,13,1,0,0,2024
2024-03-28,3,Thursday,3,13,1,0,0,2024
2024-03-29,4,Friday,3,13,1,0,1,2024
2024-03-30,5,Saturday,3,13,1,1,0,2024
2024-03-31,6,Sunday,3,13,1,1,0,2024
2024-04-01,0,Monday,4,14,2,0,1,2024
2024-04-02,1,Tuesday,4,14,2,0,0,2024
2024-04-03,2,Wednesday,4,14,2,0,0,2024
2024-04-04,3,Thursday,4,14,2,0,0,2024
2024-04-05,4,Friday,4,14,2,0,0,2024
2024-04-06,5,Saturday,4,14,2,1,0,2024
2024-04-07,6,Sunday,4,14,2,1,0,2024
2024-04-08,0,Monday,4,15,2,0,0,2024
2024-04-09,1,Tuesday,4,15,2,0,0,2024
2024-04-10,2,Wednesday,4,15,2,0,0,2024
2024-04-11,3,Thursday,4,15,2,0,0,2024
2024-04-12,4,Friday,4,15,2,0,0,2024
2024-04-13,5,Saturday,4,15,2,1,0,2024
2024-04-14,6,Sunday,4,15,2,1,0,2024
2024-04-15,0,Monday,4,16,2,0,0,2024
2024-04-16,1,Tuesday,4,16,2,0,0,2024
2024-04-17,2,Wednesday,4,16,2,0,0,2024
2024-04-18,3,Thursday,4,16,2,0,0,2024
2024-04-19,4,Friday,4,16,2,0,0,2024
2024-04-20,5,Saturday,4,16,2,1,0,2024
2024-04-21,6,Sunday,4,16,2,1,0,2024
2024-04-22,0,Monday,4,17,2,0,0,2024
2024-04-23,1,Tuesday,4,17,2,0,0,2024
2024-04-24,2,Wednesday,4,17,2,0,0,2024
2024-04-25,3,Thursday,4,17,2,0,0,2024
2024-04-26,4,Friday,4,17,2,0,0,2024
2024-04-27,5,Saturday,4,17,2,1,0,2024
2024-04-28,6,Sunday,4,17,2,1,0,2024
2024-04-29,0,Monday,4,18,2,0,0,2024
2024-04-30,1,Tuesday,4,18,2,0,0,2024
2024-05-01,2,Wednesday,5,18,2,0,1,2024
2024-05-02,3,Thursday,5,18,2,0,0,2024
2024-05-03,4,Friday,5,18,2,0,0,2024
2024-05-04,5,Saturday,5,18,2,1,0,2024
2024-05-05,6,Sunday,5,18,2,1,0,2024
2024-05-06,0,Monday,5,19,2,0,0,2024
2024-05-07,1,Tuesday,5,19,2,0,0,2024
2024-05-08,2,Wednesday,5,19,2,0,0,2024
2024-05-09,3,Thursday,5,19,2,0,1,2024
2024-05-10,4,Friday,5,19,2,0,0,2024
2024-05-11,5,Saturday,5,19,2,1,0,2024
2024-05-12,6,Sunday,5,19,2,1,0,2024
2024-05-13,0,Monday,5,20,2,0,0,2024
2024-05-14,1,Tuesday,5,20,2,0,0,2024
2024-05-15,2,Wednesday,5,20,2,0,0,2024
2024-05-16,3,Thursday,5,20,2,0,0,2024
2024-05-17,4,Friday,5,20,2,0,0,2024
2024-05-18,5,Saturday,5,20,2,1,0,2024
2024-05-19,6,Sunday,5,20,2,1,0,2024
2024-05-20,0,Monday,5,21,2,0,1,2024
2024-05-21,1,Tuesday,5,21,2,0,0,2024
2024-05-22,2,Wednesday,5,21,2,0,0,2024
2024-05-23,3,Thursday,5,21,2,0,0,2024
2024-05-24,4,Friday,5,21,2,0,0,2024
2024-05-25,5,Saturday,5,21,2,1,0,2024
2024-05-26,6,Sunday,5,21,2,1,0,2024
2024-05-27,0,Monday,5,22,2,0,0,2024
2024-05-28,1,Tuesday,5,22,2,0,0,2024
2024-05-29,2,Wednesday,5,22,2,0,0,2024
2024-05-30,3,Thursday,5,22,2,0,0,2024
2024-05-31,4,Friday,5,22,2,0,0,2024
2024-06-01,5,Saturday,6,22,2,1,0,2024
2024-06-02,6,Sunday,6,22,2,1,0,2024
2024-06-03,0,Monday,6,23,2,0,0,2024
2024-06-04,1,Tuesday,6,23,2,0,0,2024
2024-06-05,2,Wednesday,6,23,2,0,0,2024
2024-06-06,3,Thursday,6,23,2,0,0,2024
2024-06-07,4,Friday,6,23,2,0,0,2024
2024-06-08,5,Saturday,6,23,2,1,0,2024
2024-06-09,6,Sunday,6,23,2,1,0,2024
2024-06-10,0,Monday,6,24,2,0,0,2024
2024-06-11,1,Tuesday,6,24,2,0,0,2024
2024-06-12,2,Wednesday,6,24,2,0,0,2024
2024-06-13,3,Thursday,6,24,2,0,0,2024
2024-06-14,4,Friday,6,24,2,0,0,2024
2024-06-15,5,Saturday,6,24,2,1,0,2024
2024-06-16,6,Sunday,6,24,2,1,0,2024
2024-06-17,0,Monday,6,25,2,0,0,2024
2024-06-18,1,Tuesday,6,25,2,0,0,2024
2024-06-19,2,Wednesday,6,25,2,0,0,2024
2024-06-20,3,Thursday,6,25,2,0,0,2024
2024-06-21,4,Friday,6,25,2,0,0,2024
2024-06-22,5,Saturday,6,25,2,1,0,2024
2024-06-23,6,Sunday,6,25,2,1,0,2024
2024-06-24,0,Monday,6,26,2,0,0,2024
2024-06-25,1,Tuesday,6,26,2,0,0,2024
2024-06-26,2,Wednesday,6,26,2,0,0,2024
2024-06-27,3,Thursday,6,26,2,0,0,2024
2024-06-28,4,Friday,6,26,2,0,0,2024
2024-06-29,5,Saturday,6,26,2,1,0,2024
2024-06-30,6,Sunday,6,26,2,1,0,2024
2024-07-01,0,Monday,7,27,3,0,0,2024
2024-07-02,1,Tuesday,7,27,3,0,0,2024
2024-07-03,2,Wednesday,7,27,3,0,0,2024
2024-07-04,3,Thursday,7,27,3,0,0,2024
2024-07-05,4,Friday,7,27,3,0,0,2024
2024-07-06,5,Saturday,7,27,3,1,0,2024
2024-07-07,6,Sunday,7,27,3,1,0,2024
2024-07-08,0,Monday,7,28,3,0,0,2024
2024-07-09,1,Tuesday,7,28,3,0,0,2024
2024-07-10,2,Wednesday,7,28,3,0,0,2024
2024-07-11,3,Thursday,7,28,3,0,0,2024
2024-07-12,4,Friday,7,28,3,0,0,2024
2024-07-13,5,Saturday,7,28,3,1,0,2024
2024-07-14,6,Sunday,7,28,3,1,0,2024
2024-07-15,0,Monday,7,29,3,0,0,2024
2024-07-16,1,Tuesday,7,29,3,0,0,2024
2024-07-17,2,Wednesday,7,29,3,0,0,2024
2024-07-18,3,Thursday,7,29,3,0,0,2024
2024-07-19,4,Friday,7,29,3,0,0,2024
2024-07-20,5,Saturday,7,29,3,1,0,2024
2024-07-21,6,Sunday,7,29,3,1,0,2024
2024-07-22,0,Monday,7,30,3,0,0,2024
2024-07-23,1,Tuesday,7,30,3,0,0,2024
2024-07-24,2,Wednesday,7,30,3,0,0,2024
2024-07-25,3,Thursday,7,30,3,0,0,2024
2024-07-26,4,Friday,7,30,3,0,0,2024
2024-07-27,5,Saturday,7,30,3,1,0,2024
2024-07-28,6,Sunday,7,30,3,1,0,2024
2024-07-29,0,Monday,7,31,3,0,0,2024
2024-07-30,1,Tuesday,7,31,3,0,0,2024
2024-07-31,2,Wednesday,7,31,3,0,0,2024
2024-08-01,3,Thursday,8,31,3,0,0,2024
2024-08-02,4,Friday,8,31,3,0,0,2024
2024-08-03,5,Saturday,8,31,3,1,0,2024
2024-08-04,6,Sunday,8,31,3,1,0,2024
2024-08-05,0,Monday,8,32,3,0,0,2024
2024-08-06,1,Tuesday,8,32,3,0,0,2024
2024-08-07,2,Wednesday,8,32,3,0,0,2024
2024-08-08,3,Thursday,8,32,3,0,0,2024
2024-08-09,4,Friday,8,32,3,0,0,2024
2024-08-10,5,Saturday,8,32,3,1,0,2024
2024-08-11,6,Sunday,8,32,3,1,0,2024
2024-08-12,0,Monday,8,33,3,0,0,2024
2024-08-13,1,Tuesday,8,33,3,0,0,2024
2024-08-14,2,Wednesday,8,33,3,0,0,2024
2024-08-15,3,Thursday,8,33,3,0,0,2024
2024-08-16,4,Friday,8,33,3,0,0,2024
2024-08-17,5,Saturday,8,33,3,1,0,2024
2024-08-18,6,Sunday,8,33,3,1,0,2024
2024-08-19,0,Monday,8,34,3,0,0,2024
2024-08-20,1,Tuesday,8,34,3,0,0,2024
2024-08-21,2,Wednesday,8,34,3,0,0,2024
2024-08-22,3,Thursday,8,34,3,0,0,2024
2024-08-23,4,Friday,8,34,3,0,0,2024
2024-08-24,5,Saturday,8,34,3,1,0,2024
2024-08-25,6,Sunday,8,34,3,1,0,2024
2024-08-26,0,Monday,8,35,3,0,0,2024
2024-08-27,1,Tuesday,8,35,3,0,0,2024
2024-08-28,2,Wednesday,8,35,3,0,0,2024
2024-08-29,3,Thursday,8,35,3,0,0,2024
2024-08-30,4,Friday,8,35,3,0,0,2024
2024-08-31,5,Saturday,8,35,3,1,0,2024
2024-09-01,6,Sunday,9,35,3,1,0,2024
2024-09-02,0,Monday,9,36,3,0,0,2024
2024-09-03,1,Tuesday,9,36,3,0,0,2024
2024-09-04,2,Wednesday,9,36,3,0,0,2024
2024-09-05,3,Thursday,9,36,3,0,0,2024
2024-09-06,4,Friday,9,36,3,0,0,2024
2024-09-07,5,Saturday,9,36,3,1,0,2024
2024-09-08,6,Sunday,9,36,3,1,0,2024
2024-09-09,0,Monday,9,37,3,0,0,2024
2024-09-10,1,Tuesday,9,37,3,0,0,2024
2024-09-11,2,Wednesday,9,37,3,0,0,2024
2024-09-12,3,Thursday,9,37,3,0,0,2024
2024-09-13,4,Friday,9,37,3,0,0,2024
2024-09-14,5,Saturday,9,37,3,1,0,2024
2024-09-15,6,Sunday,9,37,3,1,0,2024
2024-09-16,0,Monday,9,38,3,0,0,2024
2024-09-17,1,Tuesday,9,38,3,0,0,2024
2024-09-18,2,Wednesday,9,38,3,0,0,2024
2024-09-19,3,Thursday,9,38,3,0,0,2024
2024-09-20,4,Friday,9,38,3,0,0,2024
2024-09-21,5,Saturday,9,38,3,1,0,2024
2024-09-22,6,Sunday,9,38,3,1,0,2024
2024-09-23,0,Monday,9,39,3,0,0,2024
2024-09-24,1,Tuesday,9,39,3,0,0,2024
2024-09-25,2,Wednesday,9,39,3,0,0,2024
2024-09-26,3,Thursday,9,39,3,0,0,2024
2024-09-27,4,Friday,9,39,3,0,0,2024
2024-09-28,5,Saturday,9,39,3,1,0,2024
2024-09-29,6,Sunday,9,39,3,1,0,2024
2024-09-30,0,Monday,9,40,3,0,0,2024
2024-10-01,1,Tuesday,10,40,4,0,0,2024
2024-10-02,2,Wednesday,10,40,4,0,0,2024
2024-10-03,3,Thursday,10,40,4,0,1,2024
2024-10-04,4,Friday,10,40,4,0,0,2024
2024-10-05,5,Saturday,10,40,4,1,0,2024
2024-10-06,6,Sunday,10,40,4,1,0,2024
2024-10-07,0,Monday,10,41,4,0,0,2024
2024-10-08,1,Tuesday,10,41,4,0,0,2024
2024-10-09,2,Wednesday,10,41,4,0,0,2024
2024-10-10,3,Thursday,10,41,4,0,0,2024
2024-10-11,4,Friday,10,41,4,0,0,2024
2024-10-12,5,Saturday,10,41,4,1,0,2024
2024-10-13,6,Sunday,10,41,4,1,0,2024
2024-10-14,0,Monday,10,42,4,0,0,2024
2024-10-15,1,Tuesday,10,42,4,0,0,2024
2024-10-16,2,Wednesday,10,42,4,0,0,2024
2024-10-17,3,Thursday,10,42,4,0,0,2024
2024-10-18,4,Friday,10,42,4,0,0,2024
2024-10-19,5,Saturday,10,42,4,1,0,2024
2024-10-20,6,Sunday,10,42,4,1,0,2024
2024-10-21,0,Monday,10,43,4,0,0,2024
2024-10-22,1,Tuesday,10,43,4,0,0,2024
2024-10-23,2,Wednesday,10,43,4,0,0,2024
2024-10-24,3,Thursday,10,43,4,0,0,2024
2024-10-25,4,Friday,10,43,4,0,0,2024
2024-10-26,5,Saturday,10,43,4,1,0,2024
2024-10-27,6,Sunday,10,43,4,1,0,2024
2024-10-28,0,Monday,10,44,4,0,0,2024
2024-10-29,1,Tuesday,10,44,4,0,0,2024
2024-10-30,2,Wednesday,10,44,4,0,0,2024
2024-10-31,3,Thursday,10,44,4,0,0,2024
2024-11-01,4,Friday,11,44,4,0,0,2024
2024-11-02,5,Saturday,11,44,4,1,0,2024
2024-11-03,6,Sunday,11,44,4,1,0,2024
2024-11-04,0,Monday,11,45,4,0,0,2024
2024-11-05,1,Tuesday,11,45,4,0,0,2024
2024-11-06,2,Wednesday,11,45,4,0,0,2024
2024-11-07,3,Thursday,11,45,4,0,0,2024
2024-11-08,4,Friday,11,45,4,0,0,2024
2024-11-09,5,Saturday,11,45,4,1,0,2024
2024-11-10,6,Sunday,11,45,4,1,0,2024
2024-11-11,0,Monday,11,46,4,0,0,2024
2024-11-12,1,Tuesday,11,46,4,0,0,2024
2024-11-13,2,Wednesday,11,46,4,0,0,2024
2024-11-14,3,Thursday,11,46,4,0,0,2024
2024-11-15,4,Friday,11,46,4,0,0,2024
2024-11-16,5,Saturday,11,46,4,1,0,2024
2024-11-17,6,Sunday,11,46,4,1,0,2024
2024-11-18,0,Monday,11,47,4,0,0,2024
2024-11-19,1,Tuesday,11,47,4,0,0,2024
2024-11-20,2,Wednesday,11,47,4,0,0,2024
2024-11-21,3,Thursday,11,47,4,0,0,2024
2024-11-22,4,Friday,11,47,4,0,0,2024
2024-11-23,5,Saturday,11,47,4,1,0,2024
2024-11-24,6,Sunday,11,47,4,1,0,2024
2024-11-25,0,Monday,11,48,4,0,0,2024
2024-11-26,1,Tuesday,11,48,4,0,0,2024
2024-11-27,2,Wednesday,11,48,4,0,0,2024
2024-11-28,3,Thursday,11,48,4,0,0,2024
2024-11-29,4,Friday,11,48,4,0,0,2024
2024-11-30,5,Saturday,11,48,4,1,0,2024
2024-12-01,6,Sunday,12,48,4,1,0,2024
2024-12-02,0,Monday,12,49,4,0,0,2024
2024-12-03,1,Tuesday,12,49,4,0,0,2024
2024-12-04,2,Wednesday,12,49,4,0,0,2024
2024-12-05,3,Thursday,12,49,4,0,0,2024
2024-12-06,4,Friday,12,49,4,0,0,2024
2024-12-07,5,Saturday,12,49,4,1,0,2024
2024-12-08,6,Sunday,12,49,4,1,0,2024
2024-12-09,0,Monday,12,50,4,0,0,2024
2024-12-10,1,Tuesday,12,50,4,0,0,2024
2024-12-11,2,Wednesday,12,50,4,0,0,2024
2024-12-12,3,Thursday,12,50,4,0,0,2024
2024-12-13,4,Friday,12,50,4,0,0,2024
2024-12-14,5,Saturday,12,50,4,1,0,2024
2024-12-15,6,Sunday,12,50,4,1,0,2024
2024-12-16,0,Monday,12,51,4,0,0,2024
2024-12-17,1,Tuesday,12,51,4,0,0,2024
2024-12-18,2,Wednesday,12,51,4,0,0,2024
2024-12-19,3,Thursday,12,51,4,0,0,2024
2024-12-20,4,Friday,12,51,4,0,0,2024
2024-12-21,5,Saturday,12,51,4,1,0,2024
2024-12-22,6,Sunday,12,51,4,1,0,2024
2024-12-23,0,Monday,12,52,4,0,0,2024
2024-12-24,1,Tuesday,12,52,4,0,0,2024
2024-12-25,2,Wednesday,12,52,4,0,1,2024
2024-12-26,3,Thursday,12,52,4,0,1,2024
2024-12-27,4,Friday,12,52,4,0,0,2024
2024-12-28,5,Saturday,12,52,4,1,0,2024
2024-12-29,6,Sunday,12,52,4,1,0,2024
2024-12-30,0,Monday,12,1,4,0,0,2024
2024-12-31,1,Tuesday,12,1,4,0,0,2024
