date,restaurant_id,city,restaurant_type,weekday,weekday_name,month,is_weekend,is_holiday,weather,temperature,promotion_active,orders,delivery_orders,dine_in_orders,avg_order_value,revenue,staff_hours,hourly_wage,labor_cost,productivity_per_hour,personnel_cost_ratio
2024-01-27,R0001,Karlsruhe,casual_dining,5,Saturday,1,1,0,rainy,2.5,1,459,125,334,16.3,7481.45,109.24,12.0,1310.93,68.48,0.1752
2024-01-28,R0001,Karlsruhe,casual_dining,6,Sunday,1,1,0,snowy,8.5,0,242,49,193,17.59,4256.28,76.11,12.0,913.37,55.92,0.2146
2024-01-29,R0001,Karlsruhe,casual_dining,0,Monday,1,0,0,sunny,1.8,0,277,52,225,17.89,4954.3,70.38,12.0,844.55,70.39,0.1705
2024-01-30,R0001,Karlsruhe,casual_dining,1,Tuesday,1,0,0,sunny,1.8,0,302,94,208,15.15,4575.6,54.57,12.0,654.87,83.84,0.1431
2024-01-31,R0001,Karlsruhe,casual_dining,2,Wednesday,1,0,0,cloudy,0.1,0,288,57,231,15.62,4498.1,69.41,12.0,832.97,64.8,0.1852
2024-02-01,R0001,Karlsruhe,casual_dining,3,Thursday,2,0,0,cloudy,5.0,0,332,87,245,16.35,5428.85,87.66,12.0,1051.87,61.93,0.1938
2024-02-02,R0001,Karlsruhe,casual_dining,4,Friday,2,0,0,cloudy,14.2,0,326,39,287,14.51,4730.09,67.58,12.0,810.99,69.99,0.1715
2024-02-03,R0001,Karlsruhe,casual_dining,5,Saturday,2,1,0,snowy,3.6,0,304,84,220,17.02,5174.58,79.85,12.0,958.2,64.8,0.1852
2024-02-04,R0001,Karlsruhe,casual_dining,6,Sunday,2,1,0,cloudy,0.7,0,283,68,215,15.76,4460.94,63.66,12.0,763.92,70.07,0.1712
2024-02-05,R0001,Karlsruhe,casual_dining,0,Monday,2,0,0,snowy,4.9,0,252,62,190,15.52,3911.83,46.56,12.0,558.72,84.02,0.1428
2024-02-06,R0001,Karlsruhe,casual_dining,1,Tuesday,2,0,0,rainy,-1.8,0,284,35,249,18.45,5239.2,75.28,12.0,903.34,69.6,0.1724
2024-02-07,R0001,Karlsruhe,casual_dining,2,Wednesday,2,0,0,snowy,5.2,0,254,22,232,18.22,4627.65,63.27,12.0,759.26,73.14,0.1641
2024-02-08,R0001,Karlsruhe,casual_dining,3,Thursday,2,0,0,cloudy,1.9,0,319,83,236,13.54,4320.52,63.84,12.0,766.07,67.68,0.1773
2024-02-09,R0001,Karlsruhe,casual_dining,4,Friday,2,0,0,cloudy,10.4,0,377,96,281,16.84,6349.89,82.79,12.0,993.49,76.7,0.1565
2024-02-10,R0001,Karlsruhe,casual_dining,5,Saturday,2,1,0,sunny,6.7,0,360,55,305,16.43,5915.39,80.86,12.0,970.37,73.15,0.164
2024-02-11,R0001,Karlsruhe,casual_dining,6,Sunday,2,1,0,sunny,7.6,0,420,93,327,15.28,6417.0,103.33,12.0,1240.01,62.1,0.1932
2024-02-12,R0001,Karlsruhe,casual_dining,0,Monday,2,0,0,sunny,0.9,0,272,37,235,17.62,4793.41,57.03,12.0,684.38,84.05,0.1428
2024-02-13,R0001,Karlsruhe,casual_dining,1,Tuesday,2,0,0,rainy,12.1,0,207,40,167,15.45,3197.69,49.19,12.0,590.31,65.0,0.1846
2024-02-14,R0001,Karlsruhe,casual_dining,2,Wednesday,2,0,0,sunny,-1.6,0,265,101,164,16.76,4441.5,70.85,12.0,850.16,62.69,0.1914
2024-02-15,R0001,Karlsruhe,casual_dining,3,Thursday,2,0,0,sunny,2.3,0,270,50,220,16.07,4337.58,80.59,12.0,967.06,53.82,0.2229
2024-02-16,R0001,Karlsruhe,casual_dining,4,Friday,2,0,0,cloudy,3.1,1,449,67,382,16.27,7303.72,116.56,12.0,1398.78,62.66,0.1915
2024-02-17,R0001,Karlsruhe,casual_dining,5,Saturday,2,1,0,cloudy,10.1,0,399,76,323,14.68,5856.63,91.09,12.0,1093.1,64.29,0.1866
2024-02-18,R0001,Karlsruhe,casual_dining,6,Sunday,2,1,0,cloudy,-4.5,0,320,90,230,12.52,4005.52,64.52,12.0,774.28,62.08,0.1933
2024-02-19,R0001,Karlsruhe,casual_dining,0,Monday,2,0,0,cloudy,0.4,0,277,70,207,18.95,5248.82,85.5,12.0,1026.01,61.39,0.1955
2024-02-20,R0001,Karlsruhe,casual_dining,1,Tuesday,2,0,0,cloudy,3.2,0,317,58,259,15.17,4810.06,71.82,12.0,861.78,66.98,0.1792
2024-02-21,R0001,Karlsruhe,casual_dining,2,Wednesday,2,0,0,sunny,8.0,0,303,60,243,16.26,4926.69,84.61,12.0,1015.36,58.23,0.2061
2024-02-22,R0001,Karlsruhe,casual_dining,3,Thursday,2,0,0,sunny,-7.3,1,294,43,251,14.6,4292.01,65.95,12.0,791.42,65.08,0.1844
2024-02-23,R0001,Karlsruhe,casual_dining,4,Friday,2,0,0,sunny,9.6,0,381,54,327,17.22,6559.04,93.49,12.0,1121.88,70.16,0.171
2024-02-24,R0001,Karlsruhe,casual_dining,5,Saturday,2,1,0,cloudy,6.8,0,400,54,346,16.76,6705.43,105.02,12.0,1260.29,63.85,0.188
2024-02-25,R0001,Karlsruhe,casual_dining,6,Sunday,2,1,0,cloudy,2.9,0,366,50,316,15.4,5634.63,87.51,12.0,1050.11,64.39,0.1864
2024-02-26,R0001,Karlsruhe,casual_dining,0,Monday,2,0,0,cloudy,9.6,0,240,58,182,17.75,4260.23,71.93,12.0,863.19,59.23,0.2026
2024-02-27,R0001,Karlsruhe,casual_dining,1,Tuesday,2,0,0,cloudy,-1.7,0,281,57,224,16.56,4654.7,75.02,12.0,900.27,62.04,0.1934
2024-02-28,R0001,Karlsruhe,casual_dining,2,Wednesday,2,0,0,sunny,4.8,1,310,93,217,12.93,4008.29,70.32,12.0,843.86,57.0,0.2105
2024-02-29,R0001,Karlsruhe,casual_dining,3,Thursday,2,0,0,rainy,-1.1,1,387,101,286,18.19,7038.87,106.28,12.0,1275.32,66.23,0.1812
2024-03-01,R0001,Karlsruhe,casual_dining,4,Friday,3,0,0,sunny,8.5,0,354,128,226,18.51,6554.24,114.46,12.0,1373.48,57.26,0.2096
2024-03-02,R0001,Karlsruhe,casual_dining,5,Saturday,3,1,0,sunny,8.4,0,467,126,341,17.48,8161.28,137.45,12.0,1649.42,59.38,0.2021
2024-03-03,R0001,Karlsruhe,casual_dining,6,Sunday,3,1,0,sunny,16.2,0,382,44,338,15.13,5779.03,105.87,12.0,1270.38,54.59,0.2198
2024-03-04,R0001,Karlsruhe,casual_dining,0,Monday,3,0,0,sunny,21.6,0,341,80,261,15.87,5410.67,75.57,12.0,906.83,71.6,0.1676
2024-03-05,R0001,Karlsruhe,casual_dining,1,Tuesday,3,0,0,cloudy,15.0,0,289,105,184,15.75,4551.1,77.75,12.0,933.0,58.54,0.205
2024-03-06,R0001,Karlsruhe,casual_dining,2,Wednesday,3,0,0,rainy,13.1,0,287,59,228,14.44,4145.5,60.16,12.0,721.89,68.91,0.1741
2024-03-07,R0001,Karlsruhe,casual_dining,3,Thursday,3,0,0,sunny,6.7,0,280,83,197,15.69,4393.74,76.2,12.0,914.38,57.66,0.2081
2024-03-08,R0001,Karlsruhe,casual_dining,4,Friday,3,0,0,sunny,18.1,0,352,88,264,16.3,5737.39,101.55,12.0,1218.64,56.5,0.2124
2024-03-09,R0001,Karlsruhe,casual_dining,5,Saturday,3,1,0,cloudy,18.5,0,403,82,321,16.13,6501.93,96.07,12.0,1152.81,67.68,0.1773
2024-03-10,R0001,Karlsruhe,casual_dining,6,Sunday,3,1,0,sunny,14.3,1,463,110,353,15.33,7097.24,114.34,12.0,1372.03,62.07,0.1933
2024-03-11,R0001,Karlsruhe,casual_dining,0,Monday,3,0,0,sunny,7.3,0,260,18,242,13.1,3405.94,53.57,12.0,642.79,63.58,0.1887
2024-03-12,R0001,Karlsruhe,casual_dining,1,Tuesday,3,0,0,cloudy,13.2,0,205,70,135,16.37,3355.06,46.68,12.0,560.15,71.88,0.167
2024-03-13,R0001,Karlsruhe,casual_dining,2,Wednesday,3,0,0,rainy,11.1,0,284,104,180,17.71,5028.83,76.21,12.0,914.52,65.99,0.1819
2024-03-14,R0001,Karlsruhe,casual_dining,3,Thursday,3,0,0,sunny,22.5,0,346,86,260,16.02,5543.54,114.56,12.0,1374.78,48.39,0.248
2024-03-15,R0001,Karlsruhe,casual_dining,4,Friday,3,0,0,sunny,17.3,0,385,112,273,15.21,5857.67,92.14,12.0,1105.71,63.57,0.1888
2024-03-16,R0001,Karlsruhe,casual_dining,5,Saturday,3,1,0,sunny,14.4,0,469,128,341,13.33,6253.34,88.43,12.0,1061.18,70.71,0.1697
2024-03-17,R0001,Karlsruhe,casual_dining,6,Sunday,3,1,0,cloudy,5.8,0,328,36,292,16.93,5553.62,83.54,12.0,1002.54,66.47,0.1805
2024-03-18,R0001,Karlsruhe,casual_dining,0,Monday,3,0,0,sunny,10.1,1,314,70,244,16.79,5273.0,67.04,12.0,804.53,78.65,0.1526
2024-03-19,R0001,Karlsruhe,casual_dining,1,Tuesday,3,0,0,sunny,3.2,0,309,73,236,15.82,4886.85,83.9,12.0,1006.74,58.25,0.206
2024-03-20,R0001,Karlsruhe,casual_dining,2,Wednesday,3,0,0,rainy,7.4,1,359,66,293,17.47,6271.67,73.75,12.0,884.94,85.05,0.1411
2024-03-21,R0001,Karlsruhe,casual_dining,3,Thursday,3,0,0,cloudy,4.5,0,312,60,252,15.9,4961.29,85.96,12.0,1031.57,57.71,0.2079
2024-03-22,R0001,Karlsruhe,casual_dining,4,Friday,3,0,0,cloudy,9.6,0,311,70,241,16.36,5087.34,78.6,12.0,943.21,64.72,0.1854
2024-03-23,R0001,Karlsruhe,casual_dining,5,Saturday,3,1,0,rainy,20.9,1,458,103,355,14.19,6499.61,90.95,12.0,1091.45,71.46,0.1679
2024-03-24,R0001,Karlsruhe,casual_dining,6,Sunday,3,1,0,sunny,9.2,0,355,110,245,17.14,6082.94,109.09,12.0,1309.08,55.76,0.2152
2024-03-25,R0001,Karlsruhe,casual_dining,0,Monday,3,0,0,sunny,15.6,0,289,66,223,14.72,4255.32,62.92,12.0,755.0,67.63,0.1774
2024-03-26,R0001,Karlsruhe,casual_dining,1,Tuesday,3,0,0,cloudy,12.2,0,306,69,237,15.55,4758.14,74.66,12.0,895.91,63.73,0.1883
2024-03-27,R0001,Karlsruhe,casual_dining,2,Wednesday,3,0,0,cloudy,15.2,0,323,41,282,16.62,5367.56,83.43,12.0,1001.18,64.33,0.1865
2024-03-28,R0001,Karlsruhe,casual_dining,3,Thursday,3,0,0,sunny,17.7,0,386,121,265,16.49,6364.91,102.7,12.0,1232.39,61.98,0.1936
2024-03-29,R0001,Karlsruhe,casual_dining,4,Friday,3,0,1,sunny,11.2,0,319,26,293,11.11,3543.6,58.08,12.0,696.95,61.01,0.1967
2024-03-30,R0001,Karlsruhe,casual_dining,5,Saturday,3,1,0,sunny,15.4,1,612,244,368,15.22,9315.97,146.06,12.0,1752.72,63.78,0.1881
2024-03-31,R0001,Karlsruhe,casual_dining,6,Sunday,3,1,0,sunny,15.0,0,340,73,267,15.71,5340.98,72.32,12.0,867.89,73.85,0.1625
2024-04-01,R0001,Karlsruhe,casual_dining,0,Monday,4,0,1,sunny,11.7,0,232,49,183,15.48,3592.24,57.59,12.0,691.06,62.38,0.1924
2024-04-02,R0001,Karlsruhe,casual_dining,1,Tuesday,4,0,0,sunny,16.1,0,357,38,319,15.32,5467.59,89.55,12.0,1074.54,61.06,0.1965
2024-04-03,R0001,Karlsruhe,casual_dining,2,Wednesday,4,0,0,sunny,15.3,0,367,99,268,16.34,5996.09,80.82,12.0,969.88,74.19,0.1618
2024-04-04,R0001,Karlsruhe,casual_dining,3,Thursday,4,0,0,cloudy,14.7,0,322,93,229,15.22,4902.06,88.24,12.0,1058.92,55.55,0.216
2024-04-05,R0001,Karlsruhe,casual_dining,4,Friday,4,0,0,cloudy,22.0,0,396,90,306,16.85,6671.92,105.99,12.0,1271.92,62.95,0.1906
2024-04-06,R0001,Karlsruhe,casual_dining,5,Saturday,4,1,0,cloudy,17.1,0,408,89,319,16.68,6803.6,110.32,12.0,1323.84,61.67,0.1946
2024-04-07,R0001,Karlsruhe,casual_dining,6,Sunday,4,1,0,cloudy,16.4,0,378,126,252,14.25,5385.05,80.22,12.0,962.6,67.13,0.1788
2024-04-08,R0001,Karlsruhe,casual_dining,0,Monday,4,0,0,sunny,4.7,0,307,59,248,15.5,4757.09,79.22,12.0,950.65,60.05,0.1998
2024-04-09,R0001,Karlsruhe,casual_dining,1,Tuesday,4,0,0,rainy,14.7,0,302,57,245,13.11,3959.54,48.55,12.0,582.65,81.55,0.1472
2024-04-10,R0001,Karlsruhe,casual_dining,2,Wednesday,4,0,0,cloudy,13.2,0,359,64,295,16.12,5785.29,95.12,12.0,1141.48,60.82,0.1973
2024-04-11,R0001,Karlsruhe,casual_dining,3,Thursday,4,0,0,rainy,10.4,0,297,81,216,16.9,5018.94,71.19,12.0,854.28,70.5,0.1702
2024-04-12,R0001,Karlsruhe,casual_dining,4,Friday,4,0,0,cloudy,17.9,0,351,62,289,14.73,5171.79,85.5,12.0,1026.02,60.49,0.1984
2024-04-13,R0001,Karlsruhe,casual_dining,5,Saturday,4,1,0,rainy,8.2,0,397,164,233,15.99,6349.6,85.86,12.0,1030.28,73.96,0.1623
2024-04-14,R0001,Karlsruhe,casual_dining,6,Sunday,4,1,0,cloudy,20.4,0,368,76,292,16.43,6046.08,108.6,12.0,1303.17,55.67,0.2155
2024-04-15,R0001,Karlsruhe,casual_dining,0,Monday,4,0,0,rainy,10.7,0,269,68,201,14.46,3889.16,69.8,12.0,837.62,55.72,0.2154
2024-04-16,R0001,Karlsruhe,casual_dining,1,Tuesday,4,0,0,cloudy,12.6,0,291,42,249,13.78,4010.21,64.31,12.0,771.75,62.36,0.1924
2024-04-17,R0001,Karlsruhe,casual_dining,2,Wednesday,4,0,0,cloudy,19.6,0,369,76,293,16.17,5966.1,97.6,12.0,1171.25,61.13,0.1963
2024-04-18,R0001,Karlsruhe,casual_dining,3,Thursday,4,0,0,rainy,13.3,0,269,73,196,13.84,3724.22,56.79,12.0,681.42,65.58,0.183
2024-04-19,R0001,Karlsruhe,casual_dining,4,Friday,4,0,0,cloudy,10.0,0,391,124,267,15.0,5864.43,106.49,12.0,1277.83,55.07,0.2179
2024-04-20,R0001,Karlsruhe,casual_dining,5,Saturday,4,1,0,rainy,15.5,0,458,122,336,16.65,7625.58,125.79,12.0,1509.53,60.62,0.198
2024-04-21,R0001,Karlsruhe,casual_dining,6,Sunday,4,1,0,cloudy,7.5,0,333,95,238,17.55,5842.83,105.25,12.0,1263.03,55.51,0.2162
2024-04-22,R0001,Karlsruhe,casual_dining,0,Monday,4,0,0,cloudy,11.6,0,290,90,200,15.95,4626.69,69.93,12.0,839.19,66.16,0.1814
2024-04-23,R0001,Karlsruhe,casual_dining,1,Tuesday,4,0,0,sunny,14.8,1,379,76,303,14.88,5638.25,86.79,12.0,1041.45,64.97,0.1847
2024-04-24,R0001,Karlsruhe,casual_dining,2,Wednesday,4,0,0,rainy,11.6,0,295,43,252,13.12,3871.79,59.12,12.0,709.42,65.49,0.1832
2024-04-25,R0001,Karlsruhe,casual_dining,3,Thursday,4,0,0,sunny,9.6,0,411,91,320,15.93,6547.9,101.77,12.0,1221.23,64.34,0.1865
2024-04-26,R0001,Karlsruhe,casual_dining,4,Friday,4,0,0,cloudy,13.0,0,300,66,234,15.15,4543.59,76.17,12.0,914.01,59.65,0.2012
2024-04-27,R0001,Karlsruhe,casual_dining,5,Saturday,4,1,0,sunny,15.4,0,514,152,362,16.09,8270.61,133.23,12.0,1598.78,62.08,0.1933
2024-04-28,R0001,Karlsruhe,casual_dining,6,Sunday,4,1,0,cloudy,10.2,0,366,18,348,17.77,6502.45,87.51,12.0,1050.15,74.3,0.1615
2024-04-29,R0001,Karlsruhe,casual_dining,0,Monday,4,0,0,cloudy,7.1,0,240,36,204,14.57,3496.97,68.31,12.0,819.76,51.19,0.2344
2024-04-30,R0001,Karlsruhe,casual_dining,1,Tuesday,4,0,0,sunny,22.0,1,332,69,263,13.37,4439.12,62.67,12.0,751.99,70.84,0.1694
2024-05-01,R0001,Karlsruhe,casual_dining,2,Wednesday,5,0,1,rainy,12.6,0,232,58,174,16.33,3787.98,51.56,12.0,618.69,73.47,0.1633
2024-05-02,R0001,Karlsruhe,casual_dining,3,Thursday,5,0,0,cloudy,17.3,1,392,76,316,14.06,5512.35,89.6,12.0,1075.2,61.52,0.1951
2024-05-03,R0001,Karlsruhe,casual_dining,4,Friday,5,0,0,rainy,16.1,0,402,112,290,15.52,6238.14,116.74,12.0,1400.88,53.44,0.2246
2024-05-04,R0001,Karlsruhe,casual_dining,5,Saturday,5,1,0,sunny,22.8,0,532,60,472,14.48,7701.04,114.89,12.0,1378.71,67.03,0.179
2024-05-05,R0001,Karlsruhe,casual_dining,6,Sunday,5,1,0,sunny,15.1,0,359,53,306,14.93,5358.21,103.2,12.0,1238.35,51.92,0.2311
2024-05-06,R0001,Karlsruhe,casual_dining,0,Monday,5,0,0,cloudy,14.5,0,279,13,266,14.92,4163.74,56.3,12.0,675.55,73.96,0.1622
2024-05-07,R0001,Karlsruhe,casual_dining,1,Tuesday,5,0,0,cloudy,3.9,0,341,110,231,15.79,5385.63,87.93,12.0,1055.11,61.25,0.1959
2024-05-08,R0001,Karlsruhe,casual_dining,2,Wednesday,5,0,0,sunny,16.9,0,367,97,270,15.1,5542.35,91.83,12.0,1102.0,60.35,0.1988
2024-05-09,R0001,Karlsruhe,casual_dining,3,Thursday,5,0,1,rainy,10.3,0,243,38,205,16.28,3955.2,62.19,12.0,746.26,63.6,0.1887
2024-05-10,R0001,Karlsruhe,casual_dining,4,Friday,5,0,0,sunny,15.9,0,467,165,302,14.55,6794.73,100.89,12.0,1210.73,67.35,0.1782
2024-05-11,R0001,Karlsruhe,casual_dining,5,Saturday,5,1,0,cloudy,18.2,0,343,32,311,15.63,5360.53,92.19,12.0,1106.31,58.15,0.2064
2024-05-12,R0001,Karlsruhe,casual_dining,6,Sunday,5,1,0,cloudy,20.6,0,334,94,240,15.03,5021.48,78.44,12.0,941.29,64.02,0.1875
2024-05-13,R0001,Karlsruhe,casual_dining,0,Monday,5,0,0,sunny,21.7,0,309,56,253,16.89,5217.75,81.42,12.0,977.0,64.09,0.1872
2024-05-14,R0001,Karlsruhe,casual_dining,1,Tuesday,5,0,0,rainy,12.4,0,303,103,200,16.62,5036.78,90.43,12.0,1085.18,55.7,0.2155
2024-05-15,R0001,Karlsruhe,casual_dining,2,Wednesday,5,0,0,rainy,11.1,0,303,105,198,15.07,4566.74,74.22,12.0,890.61,61.53,0.195
2024-05-16,R0001,Karlsruhe,casual_dining,3,Thursday,5,0,0,cloudy,11.9,0,260,58,202,16.89,4390.36,70.57,12.0,846.86,62.21,0.1929
2024-05-17,R0001,Karlsruhe,casual_dining,4,Friday,5,0,0,rainy,6.4,0,397,73,324,16.07,6380.6,96.11,12.0,1153.31,66.39,0.1808
2024-05-18,R0001,Karlsruhe,casual_dining,5,Saturday,5,1,0,cloudy,2.4,0,355,45,310,14.99,5322.01,75.4,12.0,904.81,70.58,0.17
2024-05-19,R0001,Karlsruhe,casual_dining,6,Sunday,5,1,0,sunny,13.3,1,492,98,394,16.83,8281.06,97.64,12.0,1171.74,84.81,0.1415
2024-05-20,R0001,Karlsruhe,casual_dining,0,Monday,5,0,1,cloudy,8.0,0,209,59,150,14.32,2992.34,43.76,12.0,525.08,68.39,0.1755
2024-05-21,R0001,Karlsruhe,casual_dining,1,Tuesday,5,0,0,sunny,15.0,0,314,31,283,16.34,5130.84,90.04,12.0,1080.45,56.99,0.2106
2024-05-22,R0001,Karlsruhe,casual_dining,2,Wednesday,5,0,0,cloudy,9.2,0,264,78,186,16.15,4263.29,68.81,12.0,825.76,61.95,0.1937
2024-05-23,R0001,Karlsruhe,casual_dining,3,Thursday,5,0,0,sunny,5.1,0,285,82,203,14.45,4119.45,66.34,12.0,796.13,62.09,0.1933
2024-05-24,R0001,Karlsruhe,casual_dining,4,Friday,5,0,0,rainy,15.1,1,462,93,369,19.38,8951.43,129.17,12.0,1550.06,69.3,0.1732
2024-05-25,R0001,Karlsruhe,casual_dining,5,Saturday,5,1,0,sunny,15.1,0,409,100,309,18.85,7711.37,112.07,12.0,1344.85,68.81,0.1744
2024-05-26,R0001,Karlsruhe,casual_dining,6,Sunday,5,1,0,rainy,17.6,1,434,107,327,14.17,6150.63,114.9,12.0,1378.82,53.53,0.2242
2024-05-27,R0001,Karlsruhe,casual_dining,0,Monday,5,0,0,cloudy,15.3,0,274,51,223,15.52,4252.83,72.8,12.0,873.62,58.42,0.2054
2024-05-28,R0001,Karlsruhe,casual_dining,1,Tuesday,5,0,0,sunny,4.3,0,335,109,226,14.39,4819.42,84.99,12.0,1019.88,56.71,0.2116
2024-05-29,R0001,Karlsruhe,casual_dining,2,Wednesday,5,0,0,rainy,17.8,0,317,69,248,13.76,4363.37,70.92,12.0,851.02,61.53,0.195
2024-05-30,R0001,Karlsruhe,casual_dining,3,Thursday,5,0,0,cloudy,15.8,0,391,19,372,17.45,6821.1,103.57,12.0,1242.83,65.86,0.1822
2024-05-31,R0001,Karlsruhe,casual_dining,4,Friday,5,0,0,sunny,12.2,0,470,116,354,14.44,6786.27,96.67,12.0,1160.07,70.2,0.1709
2024-06-01,R0001,Karlsruhe,casual_dining,5,Saturday,6,1,0,cloudy,19.6,1,517,190,327,13.42,6937.53,115.35,12.0,1384.16,60.14,0.1995
2024-06-02,R0001,Karlsruhe,casual_dining,6,Sunday,6,1,0,rainy,22.1,0,379,77,302,15.43,5848.06,87.2,12.0,1046.37,67.07,0.1789
2024-06-03,R0001,Karlsruhe,casual_dining,0,Monday,6,0,0,sunny,20.1,0,319,83,236,15.84,5052.95,75.92,12.0,911.03,66.56,0.1803
2024-06-04,R0001,Karlsruhe,casual_dining,1,Tuesday,6,0,0,rainy,34.1,0,318,126,192,14.74,4688.47,80.84,12.0,970.09,58.0,0.2069
2024-06-05,R0001,Karlsruhe,casual_dining,2,Wednesday,6,0,0,sunny,27.9,0,324,107,217,16.36,5300.35,84.62,12.0,1015.49,62.63,0.1916
2024-06-06,R0001,Karlsruhe,casual_dining,3,Thursday,6,0,0,sunny,18.4,0,374,74,300,16.82,6290.89,89.49,12.0,1073.83,70.3,0.1707
2024-06-07,R0001,Karlsruhe,casual_dining,4,Friday,6,0,0,sunny,18.7,0,397,19,378,15.28,6065.93,83.26,12.0,999.1,72.86,0.1647
2024-06-08,R0001,Karlsruhe,casual_dining,5,Saturday,6,1,0,sunny,28.6,1,448,93,355,17.72,7939.33,128.11,12.0,1537.34,61.97,0.1936
2024-06-09,R0001,Karlsruhe,casual_dining,6,Sunday,6,1,0,sunny,34.6,0,355,92,263,15.43,5477.01,84.98,12.0,1019.81,64.45,0.1862
2024-06-10,R0001,Karlsruhe,casual_dining,0,Monday,6,0,0,sunny,21.0,0,374,135,239,15.97,5972.55,97.01,12.0,1164.06,61.57,0.1949
